127.0.0.1, 2018-04-25 11:41:13, GET, /admin/default/site/, HTTP/1.1, 303, 1.648000
127.0.0.1, 2018-04-25 11:41:13, GET, /admin/default/index, HTTP/1.1, 200, 0.348000
127.0.0.1, 2018-04-25 11:41:13, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-25 11:41:40, POST, /admin/default/index, HTTP/1.1, 303, 0.047000
127.0.0.1, 2018-04-25 11:41:40, GET, /admin/default/site/, HTTP/1.1, 200, 0.216000
127.0.0.1, 2018-04-25 11:41:41, POST, /admin/default/check_version, HTTP/1.1, 200, 1.006000
127.0.0.1, 2018-04-25 11:41:44, GET, /start/default/index, HTTP/1.1, 200, 0.554000
127.0.0.1, 2018-04-25 11:41:44, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-25 11:41:44, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-25 11:41:44, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-25 11:41:44, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-25 11:41:44, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-25 11:41:44, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.069000
127.0.0.1, 2018-04-25 11:41:44, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.077000
127.0.0.1, 2018-04-25 11:41:44, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.081000
127.0.0.1, 2018-04-25 11:41:44, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.085000
127.0.0.1, 2018-04-25 11:41:44, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.121000
127.0.0.1, 2018-04-25 11:41:45, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-25 11:42:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.292000
127.0.0.1, 2018-04-25 16:49:25, GET, /welcome/default/index, HTTP/1.1, 200, 1.341000
